date,year,month_number,day,month_name,quarter
2020-07-06,2020,7,6,July,Q3
2020-07-07,2020,7,7,July,Q3
2020-07-08,2020,7,8,July,Q3
2020-07-09,2020,7,9,July,Q3
2020-07-10,2020,7,10,July,Q3
2020-07-11,2020,7,11,July,Q3
2020-07-12,2020,7,12,July,Q3
2020-07-13,2020,7,13,July,Q3
2020-07-14,2020,7,14,July,Q3
2020-07-15,2020,7,15,July,Q3
2020-07-16,2020,7,16,July,Q3
2020-07-17,2020,7,17,July,Q3
2020-07-18,2020,7,18,July,Q3
2020-07-19,2020,7,19,July,Q3
2020-07-20,2020,7,20,July,Q3
2020-07-21,2020,7,21,July,Q3
2020-07-22,2020,7,22,July,Q3
2020-07-23,2020,7,23,July,Q3
2020-07-24,2020,7,24,July,Q3
2020-07-25,2020,7,25,July,Q3
2020-07-26,2020,7,26,July,Q3
2020-07-27,2020,7,27,July,Q3
2020-07-28,2020,7,28,July,Q3
2020-07-29,2020,7,29,July,Q3
2020-07-30,2020,7,30,July,Q3
2020-07-31,2020,7,31,July,Q3
2020-08-01,2020,8,1,August,Q3
2020-08-02,2020,8,2,August,Q3
2020-08-03,2020,8,3,August,Q3
2020-08-04,2020,8,4,August,Q3
2020-08-05,2020,8,5,August,Q3
2020-08-06,2020,8,6,August,Q3
2020-08-07,2020,8,7,August,Q3
2020-08-08,2020,8,8,August,Q3
2020-08-09,2020,8,9,August,Q3
2020-08-10,2020,8,10,August,Q3
2020-08-11,2020,8,11,August,Q3
2020-08-12,2020,8,12,August,Q3
2020-08-13,2020,8,13,August,Q3
2020-08-14,2020,8,14,August,Q3
2020-08-15,2020,8,15,August,Q3
2020-08-16,2020,8,16,August,Q3
2020-08-17,2020,8,17,August,Q3
2020-08-18,2020,8,18,August,Q3
2020-08-19,2020,8,19,August,Q3
2020-08-20,2020,8,20,August,Q3
2020-08-21,2020,8,21,August,Q3
2020-08-22,2020,8,22,August,Q3
2020-08-23,2020,8,23,August,Q3
2020-08-24,2020,8,24,August,Q3
2020-08-25,2020,8,25,August,Q3
2020-08-26,2020,8,26,August,Q3
2020-08-27,2020,8,27,August,Q3
2020-08-28,2020,8,28,August,Q3
2020-08-29,2020,8,29,August,Q3
2020-08-30,2020,8,30,August,Q3
2020-08-31,2020,8,31,August,Q3
2020-09-01,2020,9,1,September,Q3
2020-09-02,2020,9,2,September,Q3
2020-09-03,2020,9,3,September,Q3
2020-09-04,2020,9,4,September,Q3
2020-09-05,2020,9,5,September,Q3
2020-09-06,2020,9,6,September,Q3
2020-09-07,2020,9,7,September,Q3
2020-09-08,2020,9,8,September,Q3
2020-09-09,2020,9,9,September,Q3
2020-09-10,2020,9,10,September,Q3
2020-09-11,2020,9,11,September,Q3
2020-09-12,2020,9,12,September,Q3
2020-09-13,2020,9,13,September,Q3
2020-09-14,2020,9,14,September,Q3
2020-09-15,2020,9,15,September,Q3
2020-09-16,2020,9,16,September,Q3
2020-09-17,2020,9,17,September,Q3
2020-09-18,2020,9,18,September,Q3
2020-09-19,2020,9,19,September,Q3
2020-09-20,2020,9,20,September,Q3
2020-09-21,2020,9,21,September,Q3
2020-09-22,2020,9,22,September,Q3
2020-09-23,2020,9,23,September,Q3
2020-09-24,2020,9,24,September,Q3
2020-09-25,2020,9,25,September,Q3
2020-09-26,2020,9,26,September,Q3
2020-09-27,2020,9,27,September,Q3
2020-09-28,2020,9,28,September,Q3
2020-09-29,2020,9,29,September,Q3
2020-09-30,2020,9,30,September,Q3
2020-10-01,2020,10,1,October,Q4
2020-10-02,2020,10,2,October,Q4
2020-10-03,2020,10,3,October,Q4
2020-10-04,2020,10,4,October,Q4
2020-10-05,2020,10,5,October,Q4
2020-10-06,2020,10,6,October,Q4
2020-10-07,2020,10,7,October,Q4
2020-10-08,2020,10,8,October,Q4
2020-10-09,2020,10,9,October,Q4
2020-10-10,2020,10,10,October,Q4
2020-10-11,2020,10,11,October,Q4
2020-10-12,2020,10,12,October,Q4
2020-10-13,2020,10,13,October,Q4
2020-10-14,2020,10,14,October,Q4
2020-10-15,2020,10,15,October,Q4
2020-10-16,2020,10,16,October,Q4
2020-10-17,2020,10,17,October,Q4
2020-10-18,2020,10,18,October,Q4
2020-10-19,2020,10,19,October,Q4
2020-10-20,2020,10,20,October,Q4
2020-10-21,2020,10,21,October,Q4
2020-10-22,2020,10,22,October,Q4
2020-10-23,2020,10,23,October,Q4
2020-10-24,2020,10,24,October,Q4
2020-10-25,2020,10,25,October,Q4
2020-10-26,2020,10,26,October,Q4
2020-10-27,2020,10,27,October,Q4
2020-10-28,2020,10,28,October,Q4
2020-10-29,2020,10,29,October,Q4
2020-10-30,2020,10,30,October,Q4
2020-10-31,2020,10,31,October,Q4
2020-11-01,2020,11,1,November,Q4
2020-11-02,2020,11,2,November,Q4
2020-11-03,2020,11,3,November,Q4
2020-11-04,2020,11,4,November,Q4
2020-11-05,2020,11,5,November,Q4
2020-11-06,2020,11,6,November,Q4
2020-11-07,2020,11,7,November,Q4
2020-11-08,2020,11,8,November,Q4
2020-11-09,2020,11,9,November,Q4
2020-11-10,2020,11,10,November,Q4
2020-11-11,2020,11,11,November,Q4
2020-11-12,2020,11,12,November,Q4
2020-11-13,2020,11,13,November,Q4
2020-11-14,2020,11,14,November,Q4
2020-11-15,2020,11,15,November,Q4
2020-11-16,2020,11,16,November,Q4
2020-11-17,2020,11,17,November,Q4
2020-11-18,2020,11,18,November,Q4
2020-11-19,2020,11,19,November,Q4
2020-11-20,2020,11,20,November,Q4
2020-11-21,2020,11,21,November,Q4
2020-11-22,2020,11,22,November,Q4
2020-11-23,2020,11,23,November,Q4
2020-11-24,2020,11,24,November,Q4
2020-11-25,2020,11,25,November,Q4
2020-11-26,2020,11,26,November,Q4
2020-11-27,2020,11,27,November,Q4
2020-11-28,2020,11,28,November,Q4
2020-11-29,2020,11,29,November,Q4
2020-11-30,2020,11,30,November,Q4
2020-12-01,2020,12,1,December,Q4
2020-12-02,2020,12,2,December,Q4
2020-12-03,2020,12,3,December,Q4
2020-12-04,2020,12,4,December,Q4
2020-12-05,2020,12,5,December,Q4
2020-12-06,2020,12,6,December,Q4
2020-12-07,2020,12,7,December,Q4
2020-12-08,2020,12,8,December,Q4
2020-12-09,2020,12,9,December,Q4
2020-12-10,2020,12,10,December,Q4
2020-12-11,2020,12,11,December,Q4
2020-12-12,2020,12,12,December,Q4
2020-12-13,2020,12,13,December,Q4
2020-12-14,2020,12,14,December,Q4
2020-12-15,2020,12,15,December,Q4
2020-12-16,2020,12,16,December,Q4
2020-12-17,2020,12,17,December,Q4
2020-12-18,2020,12,18,December,Q4
2020-12-19,2020,12,19,December,Q4
2020-12-20,2020,12,20,December,Q4
2020-12-21,2020,12,21,December,Q4
2020-12-22,2020,12,22,December,Q4
2020-12-23,2020,12,23,December,Q4
2020-12-24,2020,12,24,December,Q4
2020-12-25,2020,12,25,December,Q4
2020-12-26,2020,12,26,December,Q4
2020-12-27,2020,12,27,December,Q4
2020-12-28,2020,12,28,December,Q4
2020-12-29,2020,12,29,December,Q4
2020-12-30,2020,12,30,December,Q4
2020-12-31,2020,12,31,December,Q4
2021-01-01,2021,1,1,January,Q1
2021-01-02,2021,1,2,January,Q1
2021-01-03,2021,1,3,January,Q1
2021-01-04,2021,1,4,January,Q1
2021-01-05,2021,1,5,January,Q1
2021-01-06,2021,1,6,January,Q1
2021-01-07,2021,1,7,January,Q1
2021-01-08,2021,1,8,January,Q1
2021-01-09,2021,1,9,January,Q1
2021-01-10,2021,1,10,January,Q1
2021-01-11,2021,1,11,January,Q1
2021-01-12,2021,1,12,January,Q1
2021-01-13,2021,1,13,January,Q1
2021-01-14,2021,1,14,January,Q1
2021-01-15,2021,1,15,January,Q1
2021-01-16,2021,1,16,January,Q1
2021-01-17,2021,1,17,January,Q1
2021-01-18,2021,1,18,January,Q1
2021-01-19,2021,1,19,January,Q1
2021-01-20,2021,1,20,January,Q1
2021-01-21,2021,1,21,January,Q1
2021-01-22,2021,1,22,January,Q1
2021-01-23,2021,1,23,January,Q1
2021-01-24,2021,1,24,January,Q1
2021-01-25,2021,1,25,January,Q1
2021-01-26,2021,1,26,January,Q1
2021-01-27,2021,1,27,January,Q1
2021-01-28,2021,1,28,January,Q1
2021-01-29,2021,1,29,January,Q1
2021-01-30,2021,1,30,January,Q1
2021-01-31,2021,1,31,January,Q1
2021-02-01,2021,2,1,February,Q1
2021-02-02,2021,2,2,February,Q1
2021-02-03,2021,2,3,February,Q1
2021-02-04,2021,2,4,February,Q1
2021-02-05,2021,2,5,February,Q1
2021-02-06,2021,2,6,February,Q1
2021-02-07,2021,2,7,February,Q1
2021-02-08,2021,2,8,February,Q1
2021-02-09,2021,2,9,February,Q1
2021-02-10,2021,2,10,February,Q1
2021-02-11,2021,2,11,February,Q1
2021-02-12,2021,2,12,February,Q1
2021-02-13,2021,2,13,February,Q1
2021-02-14,2021,2,14,February,Q1
2021-02-15,2021,2,15,February,Q1
2021-02-16,2021,2,16,February,Q1
2021-02-17,2021,2,17,February,Q1
2021-02-18,2021,2,18,February,Q1
2021-02-19,2021,2,19,February,Q1
2021-02-20,2021,2,20,February,Q1
2021-02-21,2021,2,21,February,Q1
2021-02-22,2021,2,22,February,Q1
2021-02-23,2021,2,23,February,Q1
2021-02-24,2021,2,24,February,Q1
2021-02-25,2021,2,25,February,Q1
2021-02-26,2021,2,26,February,Q1
2021-02-27,2021,2,27,February,Q1
2021-02-28,2021,2,28,February,Q1
2021-03-01,2021,3,1,March,Q1
2021-03-02,2021,3,2,March,Q1
2021-03-03,2021,3,3,March,Q1
2021-03-04,2021,3,4,March,Q1
2021-03-05,2021,3,5,March,Q1
2021-03-06,2021,3,6,March,Q1
2021-03-07,2021,3,7,March,Q1
2021-03-08,2021,3,8,March,Q1
2021-03-09,2021,3,9,March,Q1
2021-03-10,2021,3,10,March,Q1
2021-03-11,2021,3,11,March,Q1
2021-03-12,2021,3,12,March,Q1
2021-03-13,2021,3,13,March,Q1
2021-03-14,2021,3,14,March,Q1
2021-03-15,2021,3,15,March,Q1
2021-03-16,2021,3,16,March,Q1
2021-03-17,2021,3,17,March,Q1
2021-03-18,2021,3,18,March,Q1
2021-03-19,2021,3,19,March,Q1
2021-03-20,2021,3,20,March,Q1
2021-03-21,2021,3,21,March,Q1
2021-03-22,2021,3,22,March,Q1
2021-03-23,2021,3,23,March,Q1
2021-03-24,2021,3,24,March,Q1
2021-03-25,2021,3,25,March,Q1
2021-03-26,2021,3,26,March,Q1
2021-03-27,2021,3,27,March,Q1
2021-03-28,2021,3,28,March,Q1
2021-03-29,2021,3,29,March,Q1
2021-03-30,2021,3,30,March,Q1
2021-03-31,2021,3,31,March,Q1
2021-04-01,2021,4,1,April,Q2
2021-04-02,2021,4,2,April,Q2
2021-04-03,2021,4,3,April,Q2
2021-04-04,2021,4,4,April,Q2
2021-04-05,2021,4,5,April,Q2
2021-04-06,2021,4,6,April,Q2
2021-04-07,2021,4,7,April,Q2
2021-04-08,2021,4,8,April,Q2
2021-04-09,2021,4,9,April,Q2
2021-04-10,2021,4,10,April,Q2
2021-04-11,2021,4,11,April,Q2
2021-04-12,2021,4,12,April,Q2
2021-04-13,2021,4,13,April,Q2
2021-04-14,2021,4,14,April,Q2
2021-04-15,2021,4,15,April,Q2
2021-04-16,2021,4,16,April,Q2
2021-04-17,2021,4,17,April,Q2
2021-04-18,2021,4,18,April,Q2
2021-04-19,2021,4,19,April,Q2
2021-04-20,2021,4,20,April,Q2
2021-04-21,2021,4,21,April,Q2
2021-04-22,2021,4,22,April,Q2
2021-04-23,2021,4,23,April,Q2
2021-04-24,2021,4,24,April,Q2
2021-04-25,2021,4,25,April,Q2
2021-04-26,2021,4,26,April,Q2
2021-04-27,2021,4,27,April,Q2
2021-04-28,2021,4,28,April,Q2
2021-04-29,2021,4,29,April,Q2
2021-04-30,2021,4,30,April,Q2
2021-05-01,2021,5,1,May,Q2
2021-05-02,2021,5,2,May,Q2
2021-05-03,2021,5,3,May,Q2
2021-05-04,2021,5,4,May,Q2
2021-05-05,2021,5,5,May,Q2
2021-05-06,2021,5,6,May,Q2
2021-05-07,2021,5,7,May,Q2
2021-05-08,2021,5,8,May,Q2
2021-05-09,2021,5,9,May,Q2
2021-05-10,2021,5,10,May,Q2
2021-05-11,2021,5,11,May,Q2
2021-05-12,2021,5,12,May,Q2
2021-05-13,2021,5,13,May,Q2
2021-05-14,2021,5,14,May,Q2
2021-05-15,2021,5,15,May,Q2
2021-05-16,2021,5,16,May,Q2
2021-05-17,2021,5,17,May,Q2
2021-05-18,2021,5,18,May,Q2
2021-05-19,2021,5,19,May,Q2
2021-05-20,2021,5,20,May,Q2
2021-05-21,2021,5,21,May,Q2
2021-05-22,2021,5,22,May,Q2
2021-05-23,2021,5,23,May,Q2
2021-05-24,2021,5,24,May,Q2
2021-05-25,2021,5,25,May,Q2
2021-05-26,2021,5,26,May,Q2
2021-05-27,2021,5,27,May,Q2
2021-05-28,2021,5,28,May,Q2
2021-05-29,2021,5,29,May,Q2
2021-05-30,2021,5,30,May,Q2
2021-05-31,2021,5,31,May,Q2
2021-06-01,2021,6,1,June,Q2
2021-06-02,2021,6,2,June,Q2
2021-06-03,2021,6,3,June,Q2
2021-06-04,2021,6,4,June,Q2
2021-06-05,2021,6,5,June,Q2
2021-06-06,2021,6,6,June,Q2
2021-06-07,2021,6,7,June,Q2
2021-06-08,2021,6,8,June,Q2
2021-06-09,2021,6,9,June,Q2
2021-06-10,2021,6,10,June,Q2
2021-06-11,2021,6,11,June,Q2
2021-06-12,2021,6,12,June,Q2
2021-06-13,2021,6,13,June,Q2
2021-06-14,2021,6,14,June,Q2
2021-06-15,2021,6,15,June,Q2
2021-06-16,2021,6,16,June,Q2
2021-06-17,2021,6,17,June,Q2
2021-06-18,2021,6,18,June,Q2
2021-06-19,2021,6,19,June,Q2
2021-06-20,2021,6,20,June,Q2
2021-06-21,2021,6,21,June,Q2
2021-06-22,2021,6,22,June,Q2
2021-06-23,2021,6,23,June,Q2
2021-06-24,2021,6,24,June,Q2
2021-06-25,2021,6,25,June,Q2
2021-06-26,2021,6,26,June,Q2
2021-06-27,2021,6,27,June,Q2
2021-06-28,2021,6,28,June,Q2
2021-06-29,2021,6,29,June,Q2
2021-06-30,2021,6,30,June,Q2
2021-07-01,2021,7,1,July,Q3
2021-07-02,2021,7,2,July,Q3
2021-07-03,2021,7,3,July,Q3
2021-07-04,2021,7,4,July,Q3
2021-07-05,2021,7,5,July,Q3
2021-07-06,2021,7,6,July,Q3
2021-07-07,2021,7,7,July,Q3
2021-07-08,2021,7,8,July,Q3
2021-07-09,2021,7,9,July,Q3
2021-07-10,2021,7,10,July,Q3
2021-07-11,2021,7,11,July,Q3
2021-07-12,2021,7,12,July,Q3
2021-07-13,2021,7,13,July,Q3
2021-07-14,2021,7,14,July,Q3
2021-07-15,2021,7,15,July,Q3
2021-07-16,2021,7,16,July,Q3
2021-07-17,2021,7,17,July,Q3
2021-07-18,2021,7,18,July,Q3
2021-07-19,2021,7,19,July,Q3
2021-07-20,2021,7,20,July,Q3
2021-07-21,2021,7,21,July,Q3
2021-07-22,2021,7,22,July,Q3
2021-07-23,2021,7,23,July,Q3
2021-07-24,2021,7,24,July,Q3
2021-07-25,2021,7,25,July,Q3
2021-07-26,2021,7,26,July,Q3
2021-07-27,2021,7,27,July,Q3
2021-07-28,2021,7,28,July,Q3
2021-07-29,2021,7,29,July,Q3
2021-07-30,2021,7,30,July,Q3
2021-07-31,2021,7,31,July,Q3
2021-08-01,2021,8,1,August,Q3
2021-08-02,2021,8,2,August,Q3
2021-08-03,2021,8,3,August,Q3
2021-08-04,2021,8,4,August,Q3
2021-08-05,2021,8,5,August,Q3
2021-08-06,2021,8,6,August,Q3
2021-08-07,2021,8,7,August,Q3
2021-08-08,2021,8,8,August,Q3
2021-08-09,2021,8,9,August,Q3
2021-08-10,2021,8,10,August,Q3
2021-08-11,2021,8,11,August,Q3
2021-08-12,2021,8,12,August,Q3
2021-08-13,2021,8,13,August,Q3
2021-08-14,2021,8,14,August,Q3
2021-08-15,2021,8,15,August,Q3
2021-08-16,2021,8,16,August,Q3
2021-08-17,2021,8,17,August,Q3
2021-08-18,2021,8,18,August,Q3
2021-08-19,2021,8,19,August,Q3
2021-08-20,2021,8,20,August,Q3
2021-08-21,2021,8,21,August,Q3
2021-08-22,2021,8,22,August,Q3
2021-08-23,2021,8,23,August,Q3
2021-08-24,2021,8,24,August,Q3
2021-08-25,2021,8,25,August,Q3
2021-08-26,2021,8,26,August,Q3
2021-08-27,2021,8,27,August,Q3
2021-08-28,2021,8,28,August,Q3
2021-08-29,2021,8,29,August,Q3
2021-08-30,2021,8,30,August,Q3
2021-08-31,2021,8,31,August,Q3
2021-09-01,2021,9,1,September,Q3
2021-09-02,2021,9,2,September,Q3
2021-09-03,2021,9,3,September,Q3
2021-09-04,2021,9,4,September,Q3
2021-09-05,2021,9,5,September,Q3
2021-09-06,2021,9,6,September,Q3
2021-09-07,2021,9,7,September,Q3
2021-09-08,2021,9,8,September,Q3
2021-09-09,2021,9,9,September,Q3
2021-09-10,2021,9,10,September,Q3
2021-09-11,2021,9,11,September,Q3
2021-09-12,2021,9,12,September,Q3
2021-09-13,2021,9,13,September,Q3
2021-09-14,2021,9,14,September,Q3
2021-09-15,2021,9,15,September,Q3
2021-09-16,2021,9,16,September,Q3
2021-09-17,2021,9,17,September,Q3
2021-09-18,2021,9,18,September,Q3
2021-09-19,2021,9,19,September,Q3
2021-09-20,2021,9,20,September,Q3
2021-09-21,2021,9,21,September,Q3
2021-09-22,2021,9,22,September,Q3
2021-09-23,2021,9,23,September,Q3
2021-09-24,2021,9,24,September,Q3
2021-09-25,2021,9,25,September,Q3
2021-09-26,2021,9,26,September,Q3
2021-09-27,2021,9,27,September,Q3
2021-09-28,2021,9,28,September,Q3
2021-09-29,2021,9,29,September,Q3
2021-09-30,2021,9,30,September,Q3
2021-10-01,2021,10,1,October,Q4
2021-10-02,2021,10,2,October,Q4
2021-10-03,2021,10,3,October,Q4
2021-10-04,2021,10,4,October,Q4
2021-10-05,2021,10,5,October,Q4
2021-10-06,2021,10,6,October,Q4
2021-10-07,2021,10,7,October,Q4
2021-10-08,2021,10,8,October,Q4
2021-10-09,2021,10,9,October,Q4
2021-10-10,2021,10,10,October,Q4
2021-10-11,2021,10,11,October,Q4
2021-10-12,2021,10,12,October,Q4
2021-10-13,2021,10,13,October,Q4
2021-10-14,2021,10,14,October,Q4
2021-10-15,2021,10,15,October,Q4
2021-10-16,2021,10,16,October,Q4
2021-10-17,2021,10,17,October,Q4
2021-10-18,2021,10,18,October,Q4
2021-10-19,2021,10,19,October,Q4
2021-10-20,2021,10,20,October,Q4
2021-10-21,2021,10,21,October,Q4
2021-10-22,2021,10,22,October,Q4
2021-10-23,2021,10,23,October,Q4
2021-10-24,2021,10,24,October,Q4
2021-10-25,2021,10,25,October,Q4
2021-10-26,2021,10,26,October,Q4
2021-10-27,2021,10,27,October,Q4
2021-10-28,2021,10,28,October,Q4
2021-10-29,2021,10,29,October,Q4
2021-10-30,2021,10,30,October,Q4
2021-10-31,2021,10,31,October,Q4
2021-11-01,2021,11,1,November,Q4
2021-11-02,2021,11,2,November,Q4
2021-11-03,2021,11,3,November,Q4
2021-11-04,2021,11,4,November,Q4
2021-11-05,2021,11,5,November,Q4
2021-11-06,2021,11,6,November,Q4
2021-11-07,2021,11,7,November,Q4
2021-11-08,2021,11,8,November,Q4
2021-11-09,2021,11,9,November,Q4
2021-11-10,2021,11,10,November,Q4
2021-11-11,2021,11,11,November,Q4
2021-11-12,2021,11,12,November,Q4
2021-11-13,2021,11,13,November,Q4
2021-11-14,2021,11,14,November,Q4
2021-11-15,2021,11,15,November,Q4
2021-11-16,2021,11,16,November,Q4
2021-11-17,2021,11,17,November,Q4
2021-11-18,2021,11,18,November,Q4
2021-11-19,2021,11,19,November,Q4
2021-11-20,2021,11,20,November,Q4
2021-11-21,2021,11,21,November,Q4
2021-11-22,2021,11,22,November,Q4
2021-11-23,2021,11,23,November,Q4
2021-11-24,2021,11,24,November,Q4
2021-11-25,2021,11,25,November,Q4
2021-11-26,2021,11,26,November,Q4
2021-11-27,2021,11,27,November,Q4
2021-11-28,2021,11,28,November,Q4
